,1 Acropora sp,10B Pocillopora damicornis,11B Pocillopora damicornis,12B Pocillopora damicornis,16 Acropora sp,17 Montipora sp,20 Montipora sp,21 Acropora sp,22 Acropora sp,25A Porites sp,27 Acropora sp,2B Pocillopora damicornis,30B Montipora sp,31B Porites sp,32B Porites sp,33B Montipora sp,34B Montipora sp,35B Montipora sp,36B Montipora sp,3B Pocillopora sp,42B Montipora sp,42C Montipora sp,43B Pocillopora damicornis,45 Porites sp,46B Porites sp,48B Acropora sp,5 Acropora sp,50B Acropora sp,6B Pocillopora damicornis,'7B Porites sp.',8B Montipora sp,9B Montipora sp
Zotu130,0,0,0,0,0,0,33.89830508,0,0,0,835.6164384,0,285.7142857,47.61904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.625,0,0,17.24137931,0,0,0,0,0,0,8.196721311,0,0
Zotu6665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu371,0,9750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu674,53.57142857,0,0,44.44444444,0,0,0,0,0,0,0,0,9.523809524,0,0,0,0,25.97402597,0,23.4375,26.31578947,0,5.747126437,0,0,0,31.74603175,10,0,0,0,22.85714286
Zotu158,0,0,0,0,0,0,0,0,0,0,369.8630137,0,114.2857143,0,0,0,0,0,41.66666667,0,0,0,0,0,27.02702703,0,0,0,0,0,3047.619048,0
Zotu5605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.5748988,0,720,0,0,0,0
Zotu369,0,0,0,0,0,0,0,0,208.3333333,0,0,0,9.523809524,0,0,0,0,0,0,0,0,0,0,0,0,206.4777328,0,0,0,0,0,5.714285714
Zotu1095,17.85714286,0,0,22.22222222,0,6.211180124,0,10.1010101,16.66666667,7.462686567,0,0,9.523809524,0,0,0,0,0,0,23.4375,0,0,0,0,0,0,19.84126984,0,0,0,0,5.714285714
